Date,Quantity
2014-01-03,8930.0
2014-01-10,9144.0
2014-01-17,9609.0
2014-01-24,9812.0
2014-02-07,10286.0
2014-02-14,10612.0
2014-02-21,10720.0
2014-02-28,10601.0
2014-03-07,10857.0
2014-03-14,11065.0
2014-03-21,11193.0
2014-03-28,11158.0
2014-04-04,11102.0
2014-04-11,11165.0
2014-04-18,11058.0
2014-04-25,11263.0
2014-05-02,11306.0
2014-05-09,11260.0
2014-05-16,11475.0
2014-05-23,11535.0
2014-05-30,11588.0
2014-06-06,11576.0
2014-06-13,11570.0
2014-06-20,11621.0
2014-06-27,11481.0
2014-07-04,11618.0
2014-07-11,11616.0
2014-07-18,11546.0
2014-07-25,11345.0
2014-08-01,11333.0
2014-08-08,11189.0
2014-08-15,11067.0
2014-08-22,11080.0
2014-08-29,11237.0
2014-09-05,11269.0
2014-09-12,11341.0
2014-09-19,11370.0
2014-09-26,11069.0
2014-10-10,10851.0
2014-10-17,10658.0
2014-10-24,10581.0
2014-10-31,10718.0
2014-11-07,10624.0
2014-11-14,10743.0
2014-11-21,10805.0
2014-11-28,10689.0
2014-12-05,10503.0
2014-12-12,10489.0
2014-12-19,10277.0
2014-12-26,10059.0
2015-01-02,9824.0
2015-01-09,9870.0
2015-01-16,9891.0
2015-01-23,9822.0
2015-01-30,9977.0
2015-02-06,9848.0
2015-02-13,9669.0
2015-02-27,9829.0
2015-03-06,9938.0
2015-03-13,10028.0
2015-03-20,9919.0
2015-03-27,10013.0
2015-04-03,9724.0
2015-04-10,9737.0
2015-04-17,9758.0
2015-04-24,9716.0
2015-05-01,9507.0
2015-05-08,8991.0
2015-05-15,8656.0
2015-05-22,8492.0
2015-05-29,8331.0
2015-06-05,8273.0
2015-06-12,8074.0
2015-06-19,7962.0
2015-06-26,7871.0
2015-07-03,8177.0
2015-07-10,8201.0
2015-07-17,8115.0
2015-07-24,8175.0
2015-07-31,8068.0
2015-08-07,8156.0
2015-08-14,8167.0
2015-08-21,8104.0
2015-08-28,8059.0
2015-09-04,7994.0
2015-09-11,8125.0
2015-09-18,8290.0
2015-09-25,8552.0
2015-10-09,8093.0
2015-10-16,8427.0
2015-10-23,8387.0
2015-10-30,8445.0
2015-11-06,8711.0
2015-11-13,8713.0
2015-11-20,8658.0
2015-11-27,8917.0
2015-12-04,9149.0
2015-12-11,9209.0
2015-12-18,9429.0
2015-12-25,9743.0
2015-12-31,9608.0
2016-01-08,9906.0
2016-01-15,10063.0
2016-01-22,10005.0
2016-01-29,9841.0
2016-02-02,9657.0
2016-02-19,9813.0
2016-02-26,9819.0
2016-03-04,9786.0
2016-03-11,9695.0
2016-03-18,9750.0
2016-03-25,9631.0
2016-04-01,9943.0
2016-04-08,10072.0
2016-04-15,9914.0
2016-04-22,9939.0
2016-04-29,10008.0
2016-05-06,10067.0
2016-05-13,9937.0
2016-05-20,10178.0
2016-05-27,10186.0
2016-06-03,10017.0
2016-06-12,10070.0
2016-06-17,10057.0
2016-06-24,10268.0
2016-07-01,10461.0
2016-07-08,10657.0
2016-07-15,10840.0
2016-07-22,10884.0
2016-07-29,10864.0
2016-08-05,10821.0
2016-08-12,10754.0
2016-08-19,10641.0
2016-08-26,10540.0
2016-09-02,10424.0
2016-09-09,10346.0
2016-09-14,10401.0
2016-09-23,10272.0
2016-09-30,10648.0
2016-10-07,10461.0
2016-10-14,10568.0
2016-10-21,10686.0
2016-10-28,10829.0
2016-11-04,11119.0
2016-11-11,10909.0
2016-11-18,11135.0
2016-11-25,11073.0
2016-12-02,11212.0
2016-12-09,11243.0
2016-12-16,11299.0
2016-12-23,11165.0
2016-12-30,11439.0
2017-01-06,11732.0
2017-01-13,11899.0
2017-01-20,11951.0
2017-02-10,12820.0
2017-02-17,12931.0
2017-02-24,13081.0
2017-03-03,13166.0
2017-03-10,13129.0
2017-03-17,13182.0
2017-03-24,13363.0
2017-03-31,13456.0
2017-04-07,13374.0
2017-04-14,13236.0
2017-04-21,13135.0
2017-04-28,13333.0
2017-05-05,13606.0
2017-05-12,13793.0
2017-05-19,13942.0
2017-05-26,14027.0
2017-06-02,14014.0
2017-06-09,14411.0
2017-06-16,14235.7
2017-06-23,14539.3
2017-06-30,14413.0
2017-07-07,14229.4
2017-07-14,14287.2
2017-07-21,14319.72
2017-07-28,14231.22
2017-08-04,14036.78
2017-08-11,13834.44
2017-08-18,13635.27
2017-08-25,13473.0
2017-09-01,13419.0
2017-09-08,13390.0
2017-09-15,13261.0
2017-09-22,13174.0
2017-09-29,13357.0
2017-10-13,13147.0
2017-10-20,13178.0
2017-10-27,13594.0
2017-11-03,13741.87
2017-11-10,13841.67
2017-11-17,13815.34
2017-11-24,13984.94
2017-12-01,14135.52
2017-12-08,14217.59
2017-12-15,14338.7
2017-12-22,14536.57
2017-12-29,14655.09
2018-01-05,14923.21
2018-01-12,15197.03
2018-01-19,15360.86
2018-01-26,15182.22
2018-02-02,15142.81
2018-02-09,15238.12
2018-02-23,15750.23
2018-03-02,15956.23
2018-03-09,15832.17
2018-03-16,15972.6
2018-03-23,16135.4
2018-03-30,16281.8
2018-04-05,16116.13
2018-04-13,16042.97
2018-04-20,15983.18
2018-04-27,15908.41
2018-05-04,16015.99
2018-05-11,15876.39
2018-05-18,15756.47
2018-05-25,15889.44
2018-06-01,16040.16
2018-06-08,15914.61
2018-06-15,15723.47
2018-06-22,15488.41
2018-06-29,15579.28
2018-07-06,15342.07
2018-07-13,15351.73
2018-07-20,15365.23
2018-07-27,15345.48
2018-08-03,15410.39
2018-08-10,15286.9
2018-08-17,15145.93
2018-08-24,14961.91
2018-08-31,14733.23
2018-09-07,14774.36
2018-09-14,14756.61
2018-09-21,14784.43
2018-09-28,14516.54
2018-10-12,14353.18
2018-10-19,14527.65
2018-10-26,14518.64
2018-11-02,14357.4
2018-11-09,14281.87
2018-11-16,14273.01
2018-11-22,14314.08
2018-11-30,14034.92
2018-12-07,13860.02
2018-12-14,13941.33
2018-12-21,13885.38
2018-12-28,14156.43
2019-01-02,14288.16
2019-01-09,14182.2
2019-01-16,14373.5
2019-01-23,14205.75
2019-01-29,13973.95
2019-02-13,14414.21
2019-02-19,14576.5
2019-02-26,14687.73
2019-03-04,14745.65
2019-03-11,14770.0
2019-03-18,14788.56
2019-03-25,14702.93
2019-04-01,14843.43
2019-04-08,14186.13
2019-04-15,13836.29
2019-04-22,13426.0
2019-04-29,13437.48
2019-05-06,13330.83
2019-05-13,13206.92
2019-05-20,12767.82
2019-05-27,12398.1
2019-06-03,12158.71
2019-06-09,11795.73
2019-06-19,11752.3
2019-06-24,11565.03
2019-07-04,11493.15
2019-07-08,11413.51
2019-07-15,11682.09
2019-07-22,11641.81
2019-07-29,11869.28
